annotation_schema_version,annotation_id,doc_id,relative_path,statement_type,line_start,line_end,row_count,column_count,unit_normalized,expected_periods,notes
1,ann_6a8ba54e2071730d30ac57fbbffba2bbae8f48abcbd4c8b19166c99da3596a2f,doc_317968435138a46a393dcbabc81329e37b7d7600a784bee8551a19578598c039,DBC/2017/DBC_financial_statements_2017_separate/DBC_financial_statements_2017_separate_extracted.txt,cash_flow_statement,336,336,29,5,VND,,auto-mapped
1,ann_b775c3c56c4732259da3788c8becd7f5ae7747a71919bd4c97609d1b37d5b498,doc_317968435138a46a393dcbabc81329e37b7d7600a784bee8551a19578598c039,DBC/2017/DBC_financial_statements_2017_separate/DBC_financial_statements_2017_separate_extracted.txt,cash_flow_statement,353,353,11,5,VND,,auto-mapped
1,ann_d527ffb572a614106e75e77ba0955694bc02ed1c5aaaf07c5d21d55526bdb7de,doc_34c9d8015b288a8c3cdaf89d6bf515e6211f103c8352afd68e39f0092ed2821b,MWG/2019/MWG_financial_statements_2019_consolidated/MWG_financial_statements_2019_consolidated_extracted.txt,cash_flow_statement,13,13,8,2,,,auto-mapped
1,ann_5555fa61371045d6a58c4367f09b754972ddb6611743862e03fb0b8c99879385,doc_34c9d8015b288a8c3cdaf89d6bf515e6211f103c8352afd68e39f0092ed2821b,MWG/2019/MWG_financial_statements_2019_consolidated/MWG_financial_statements_2019_consolidated_extracted.txt,cash_flow_statement,182,182,37,5,,,auto-mapped
1,ann_e3896514d244e129f5f0dcf02199370ee330fa0cfba436678ec1d663c7316788,doc_34c9d8015b288a8c3cdaf89d6bf515e6211f103c8352afd68e39f0092ed2821b,MWG/2019/MWG_financial_statements_2019_consolidated/MWG_financial_statements_2019_consolidated_extracted.txt,cash_flow_statement,261,261,26,5,,,auto-mapped
1,ann_3cfcd814391b629a14d4ff9fd0a04f8ccdea5b2cc6147ac1d6e76c032cfcc8e2,doc_34c9d8015b288a8c3cdaf89d6bf515e6211f103c8352afd68e39f0092ed2821b,MWG/2019/MWG_financial_statements_2019_consolidated/MWG_financial_statements_2019_consolidated_extracted.txt,cash_flow_statement,278,278,12,5,,,auto-mapped
1,ann_30eab8f313262ae340b2fe858c26c0574d6f63cddf7856bb08146cb2405143da,doc_3a7a16664bf624f15f5f746e733fc404c5c66450ef82556adc62329cc1bdcd11,GEX/2018/GEX_financial_statements_2018_separate/GEX_financial_statements_2018_separate_extracted.txt,balance_sheet,289,289,42,5,VND,,auto-mapped
1,ann_072ef84a2886b07f4a8414961f7f13aa0f10710d283989d4ae3bfe3da3d903ca,doc_3a7a16664bf624f15f5f746e733fc404c5c66450ef82556adc62329cc1bdcd11,GEX/2018/GEX_financial_statements_2018_separate/GEX_financial_statements_2018_separate_extracted.txt,income_statement,306,306,29,5,VND,,auto-mapped
1,ann_352f81bf9a99477037903c244d464dd2b7f36c06d8740336553621f08f0b729c,doc_3a7a16664bf624f15f5f746e733fc404c5c66450ef82556adc62329cc1bdcd11,GEX/2018/GEX_financial_statements_2018_separate/GEX_financial_statements_2018_separate_extracted.txt,income_statement,337,337,18,5,VND,,auto-mapped
1,ann_48e36b88d04a1193b7cb9d5d116eb3840adf2a35a508c311e7feb198d23758c7,doc_3a7a16664bf624f15f5f746e733fc404c5c66450ef82556adc62329cc1bdcd11,GEX/2018/GEX_financial_statements_2018_separate/GEX_financial_statements_2018_separate_extracted.txt,cash_flow_statement,369,369,27,5,VND,,auto-mapped
1,ann_d981e4ec9762cc7449883c881b06b7a5f7bcac889e21defc53750b7982f6621b,doc_3a7a16664bf624f15f5f746e733fc404c5c66450ef82556adc62329cc1bdcd11,GEX/2018/GEX_financial_statements_2018_separate/GEX_financial_statements_2018_separate_extracted.txt,cash_flow_statement,386,386,11,5,VND,,auto-mapped
1,ann_5c421993317b8fbddf68fe92e024c4df2687853be2120e86eeb7858acad75642,doc_3b110f53f97b95631878b80740eae6ebebecfea085cbc0a5876f4fb043eb347a,IJC/2024/IJC_financial_statements_2024_separate/IJC_financial_statements_2024_separate_extracted.txt,balance_sheet,348,348,27,5,VND,,auto-mapped
1,ann_974e6da3da91e08f722a4bf5643a1d730e73f6db49305283889f9d0f79bc380e,doc_3b110f53f97b95631878b80740eae6ebebecfea085cbc0a5876f4fb043eb347a,IJC/2024/IJC_financial_statements_2024_separate/IJC_financial_statements_2024_separate_extracted.txt,balance_sheet,408,408,23,5,,,auto-mapped
1,ann_51fc996ee901342277106e3678b64bc52ae49b17ecf0cbbbddc0082076c53db6,doc_3b110f53f97b95631878b80740eae6ebebecfea085cbc0a5876f4fb043eb347a,IJC/2024/IJC_financial_statements_2024_separate/IJC_financial_statements_2024_separate_extracted.txt,income_statement,429,429,21,5,VND,,auto-mapped
1,ann_aec43d49cb31cb03ab7f1f04a6ca3d780383c5d562ca2d4f235009d6dbfa6e87,doc_3b110f53f97b95631878b80740eae6ebebecfea085cbc0a5876f4fb043eb347a,IJC/2024/IJC_financial_statements_2024_separate/IJC_financial_statements_2024_separate_extracted.txt,cash_flow_statement,461,461,21,5,VND,,auto-mapped
1,ann_1ae1d49b9f291a3ea67002d7f2dfc068ef460f0d978829973546ab5e2cf0d540,doc_3b110f53f97b95631878b80740eae6ebebecfea085cbc0a5876f4fb043eb347a,IJC/2024/IJC_financial_statements_2024_separate/IJC_financial_statements_2024_separate_extracted.txt,cash_flow_statement,465,465,8,5,,,auto-mapped
1,ann_fdcfe383d65665da7a361a3d92ecbe974e9dc2c3cb0dd4926eddc4cb15e6572e,doc_3b110f53f97b95631878b80740eae6ebebecfea085cbc0a5876f4fb043eb347a,IJC/2024/IJC_financial_statements_2024_separate/IJC_financial_statements_2024_separate_extracted.txt,cash_flow_statement,482,482,13,5,,,auto-mapped
1,ann_aafcb1ad44ffd2b3bb24732a7cf7d1d1e4cd5460f9be45900421fcbb5b910509,doc_42376c624225d02956730a6af69b07e08f78cd7d5366b0f8be3e71ffa75269c5,PNJ/2020/PNJ_financial_statements_2020_consolidated/PNJ_financial_statements_2020_consolidated_extracted.txt,income_statement,38,38,7,3,,,auto-mapped
1,ann_d7a0b317e3eef8edaca8dc81e09c86cfbc78730e5eb21573eac5a8e6fb16246a,doc_42376c624225d02956730a6af69b07e08f78cd7d5366b0f8be3e71ffa75269c5,PNJ/2020/PNJ_financial_statements_2020_consolidated/PNJ_financial_statements_2020_consolidated_extracted.txt,cash_flow_statement,133,133,36,5,,,auto-mapped
1,ann_d314229794d799f90bf604f3ee10f1130cc91c4e6138186e2b367b958ea93f9e,doc_42376c624225d02956730a6af69b07e08f78cd7d5366b0f8be3e71ffa75269c5,PNJ/2020/PNJ_financial_statements_2020_consolidated/PNJ_financial_statements_2020_consolidated_extracted.txt,cash_flow_statement,184,184,34,5,,,auto-mapped
1,ann_cf822d9c9a74af593cd70577093e2686273cbd4fe961e48f549fbadd1bf4a843,doc_43e277154b1ac89913b75cf6f8f71be85bdf8dcfe25335b06a9abf74779c6eb1,HDB/2022/HDB_financial_statements_2022_consolidated/HDB_financial_statements_2022_consolidated_extracted.txt,balance_sheet,2204,2204,25,7,VND_million,,auto-mapped
1,ann_08e7f58b14bfcd86dab53755463a211e42a66d94500f1b63f1a27fb7112311a2,doc_43e277154b1ac89913b75cf6f8f71be85bdf8dcfe25335b06a9abf74779c6eb1,HDB/2022/HDB_financial_statements_2022_consolidated/HDB_financial_statements_2022_consolidated_extracted.txt,balance_sheet,2226,2226,25,7,,,auto-mapped
1,ann_e86732946e4bcdb5978d923d358d00fdd9bfa9dae5c519499f2e53727e4d2017,doc_43e277154b1ac89913b75cf6f8f71be85bdf8dcfe25335b06a9abf74779c6eb1,HDB/2022/HDB_financial_statements_2022_consolidated/HDB_financial_statements_2022_consolidated_extracted.txt,balance_sheet,2254,2254,23,10,VND_million,,auto-mapped
1,ann_ed47278ce07ddadcdb89782d168c7d933070a26cf86c2fde9b9aaf225c497b46,doc_43e277154b1ac89913b75cf6f8f71be85bdf8dcfe25335b06a9abf74779c6eb1,HDB/2022/HDB_financial_statements_2022_consolidated/HDB_financial_statements_2022_consolidated_extracted.txt,balance_sheet,2278,2278,23,10,VND_million,,auto-mapped
1,ann_29ba442e32e697ec6a55bd27540084bda83af1fb1480fec995de9e9e4088c87f,doc_43e277154b1ac89913b75cf6f8f71be85bdf8dcfe25335b06a9abf74779c6eb1,HDB/2022/HDB_financial_statements_2022_consolidated/HDB_financial_statements_2022_consolidated_extracted.txt,balance_sheet,2328,2328,24,9,VND_million,,auto-mapped
1,ann_86cef03e93f0c517e657993a1ee0664b9ab1fbb01a9a5f9e11d26481fc75ab07,doc_43e277154b1ac89913b75cf6f8f71be85bdf8dcfe25335b06a9abf74779c6eb1,HDB/2022/HDB_financial_statements_2022_consolidated/HDB_financial_statements_2022_consolidated_extracted.txt,balance_sheet,2348,2348,24,9,VND_million,,auto-mapped
1,ann_32e5fba8d38b93ab65b6380dfc880dd6574eb2940956b6c3d73bf88a20b3af7c,doc_43e277154b1ac89913b75cf6f8f71be85bdf8dcfe25335b06a9abf74779c6eb1,HDB/2022/HDB_financial_statements_2022_consolidated/HDB_financial_statements_2022_consolidated_extracted.txt,income_statement,2368,2368,11,7,,,auto-mapped
1,ann_e7677ae35d33e012a021042d2ecff9aec82167fecfcfda137ad27d20fcb10574,doc_43e277154b1ac89913b75cf6f8f71be85bdf8dcfe25335b06a9abf74779c6eb1,HDB/2022/HDB_financial_statements_2022_consolidated/HDB_financial_statements_2022_consolidated_extracted.txt,income_statement,2494,2494,3,4,,,auto-mapped
1,ann_cc514a67a3edeb73e4a3bbf41999dec433b2308de00ccd6bbd72a2db73a1e023,doc_465329a58fcb0391a6c29316d5566abbf5702ecda8bfc8c2c49e9e1b6b442409,PNJ/2016/PNJ_financial_statements_2016_separate/PNJ_financial_statements_2016_separate_extracted.txt,balance_sheet,185,185,39,5,VND,,auto-mapped
1,ann_cc936a6c1ce3eb4cefd0871ffab602ab910768656a18f453da2944f2e1fc6c37,doc_465329a58fcb0391a6c29316d5566abbf5702ecda8bfc8c2c49e9e1b6b442409,PNJ/2016/PNJ_financial_statements_2016_separate/PNJ_financial_statements_2016_separate_extracted.txt,balance_sheet,397,397,7,5,,,auto-mapped
1,ann_4822f080e3896dc132a0b2c65795d9ec7876cc5b9daf0a0ced4bffc4384786c4,doc_465329a58fcb0391a6c29316d5566abbf5702ecda8bfc8c2c49e9e1b6b442409,PNJ/2016/PNJ_financial_statements_2016_separate/PNJ_financial_statements_2016_separate_extracted.txt,income_statement,403,403,10,5,,,auto-mapped
1,ann_ae29e75c8163b2d791e93f9c693bc418148fb34354755bf1ec62e5d634ee649a,doc_465329a58fcb0391a6c29316d5566abbf5702ecda8bfc8c2c49e9e1b6b442409,PNJ/2016/PNJ_financial_statements_2016_separate/PNJ_financial_statements_2016_separate_extracted.txt,cash_flow_statement,417,417,5,5,,,auto-mapped
1,ann_573eb0c089ad2d714cd826b372b072c5a5db0729976896175b47e0b6dea5f97e,doc_470441b55a427e05adaf3cd97407470af7cc60f7522557e9ffe4447c54f542ad,VSF/2017/VSF_financial_statements_2017_separate/VSF_financial_statements_2017_separate_extracted.txt,balance_sheet,206,206,20,5,,,auto-mapped
1,ann_746337c9a9481bdb67d0a2c151e55d9ab393a38aa8fb7c5287a0bf5e5bceb873,doc_470441b55a427e05adaf3cd97407470af7cc60f7522557e9ffe4447c54f542ad,VSF/2017/VSF_financial_statements_2017_separate/VSF_financial_statements_2017_separate_extracted.txt,balance_sheet,227,227,25,5,,,auto-mapped
1,ann_2606b2c6f16916bf60a4c6887292ab3cac7fd46856e94af5cd080af5508bcd11,doc_470441b55a427e05adaf3cd97407470af7cc60f7522557e9ffe4447c54f542ad,VSF/2017/VSF_financial_statements_2017_separate/VSF_financial_statements_2017_separate_extracted.txt,income_statement,248,248,30,5,,,auto-mapped
1,ann_aed85fe36d79288f5155de576bebf59d20f8f9e36497c2937b62c59a06eaaf45,doc_470441b55a427e05adaf3cd97407470af7cc60f7522557e9ffe4447c54f542ad,VSF/2017/VSF_financial_statements_2017_separate/VSF_financial_statements_2017_separate_extracted.txt,income_statement,283,283,20,5,,,auto-mapped
1,ann_d62dd0508e8facbe4a7ecaef730c40f7aa3a1528db8a3fc40dc2513a06453c4e,doc_470441b55a427e05adaf3cd97407470af7cc60f7522557e9ffe4447c54f542ad,VSF/2017/VSF_financial_statements_2017_separate/VSF_financial_statements_2017_separate_extracted.txt,cash_flow_statement,318,318,27,5,,,auto-mapped
1,ann_e6aa04961848bfddd3ce77aef65472d86e07326d8143c88637b9b2cd7d167f81,doc_49ffb7824ef7cb8692836f2e87c1da03763fccdd9700e57026bafa599ad2246b,VSF/2020/VSF_financial_statements_2020_separate/VSF_financial_statements_2020_separate_extracted.txt,balance_sheet,304,304,25,5,,,auto-mapped
1,ann_9b00b258205e6b889a8376a6361726923559e579953346cd91337ef1dce6d24d,doc_49ffb7824ef7cb8692836f2e87c1da03763fccdd9700e57026bafa599ad2246b,VSF/2020/VSF_financial_statements_2020_separate/VSF_financial_statements_2020_separate_extracted.txt,balance_sheet,320,320,27,5,,,auto-mapped
1,ann_ebead603f0d78b955330fb7e2ce0820fd4885274643d7fd7baee93144cf7b22b,doc_49ffb7824ef7cb8692836f2e87c1da03763fccdd9700e57026bafa599ad2246b,VSF/2020/VSF_financial_statements_2020_separate/VSF_financial_statements_2020_separate_extracted.txt,income_statement,345,345,19,5,,,auto-mapped
1,ann_4c93f05eb43ab05653a97e68031b7718157c58af0efe815b718b872c01ada508,doc_49ffb7824ef7cb8692836f2e87c1da03763fccdd9700e57026bafa599ad2246b,VSF/2020/VSF_financial_statements_2020_separate/VSF_financial_statements_2020_separate_extracted.txt,cash_flow_statement,373,373,23,5,,,auto-mapped
1,ann_698032608a1836f520ae87800b5a2b6f537028f7d802d2b5d5f7c1561bdfa21d,doc_49ffb7824ef7cb8692836f2e87c1da03763fccdd9700e57026bafa599ad2246b,VSF/2020/VSF_financial_statements_2020_separate/VSF_financial_statements_2020_separate_extracted.txt,cash_flow_statement,392,392,9,5,,,auto-mapped
1,ann_6e2e5d902ca0de841c57ab7ce031cf2962b28c85df4ad75f6edfde4e77987447,doc_4b4f4585162bad157e0b50e8b47dd401c461fad6eae658b791246875aa679cd0,GEE/2021/GEE_financial_statements_2021_consolidated/GEE_financial_statements_2021_consolidated_extracted.txt,balance_sheet,214,214,21,6,VND,,auto-mapped
1,ann_cf34be205e24c2e31e4223875152fd7335881d9618b78fa78fbd62f4eac503a1,doc_4b4f4585162bad157e0b50e8b47dd401c461fad6eae658b791246875aa679cd0,GEE/2021/GEE_financial_statements_2021_consolidated/GEE_financial_statements_2021_consolidated_extracted.txt,balance_sheet,241,241,25,6,VND,,auto-mapped
1,ann_80cd01ba87e477ae8bdbd53c2961794c887e5b02c5f770b56bea4651ba07f416,doc_4b4f4585162bad157e0b50e8b47dd401c461fad6eae658b791246875aa679cd0,GEE/2021/GEE_financial_statements_2021_consolidated/GEE_financial_statements_2021_consolidated_extracted.txt,income_statement,268,268,32,6,,,auto-mapped
1,ann_da45aa2c441f278990baca769cbb5d4a46bdf35f7612d025839fd43dc785714f,doc_4b4f4585162bad157e0b50e8b47dd401c461fad6eae658b791246875aa679cd0,GEE/2021/GEE_financial_statements_2021_consolidated/GEE_financial_statements_2021_consolidated_extracted.txt,income_statement,307,307,24,6,VND,,auto-mapped
1,ann_9d7924ebbc1c2f2469b0d12b2bad1da45af0e0dc5e5cbc6369686275edcd82ed,doc_4b4f4585162bad157e0b50e8b47dd401c461fad6eae658b791246875aa679cd0,GEE/2021/GEE_financial_statements_2021_consolidated/GEE_financial_statements_2021_consolidated_extracted.txt,cash_flow_statement,346,346,28,5,VND,,auto-mapped
1,ann_a6d7d7928b7031bce17b5adb390e6b26fc29d312227260864c19f61f9adfe6de,doc_4b4f4585162bad157e0b50e8b47dd401c461fad6eae658b791246875aa679cd0,GEE/2021/GEE_financial_statements_2021_consolidated/GEE_financial_statements_2021_consolidated_extracted.txt,cash_flow_statement,373,373,11,5,VND,,auto-mapped
1,ann_1fc2ba09b169632fc5efa392c5c142f3babdfe868a84b980d2efa3d5c0ac3de4,doc_4e83387e664068ed2108ed1ed1ea68c8c09f748712230f0a3a8ecd729690793a,NLG/2025/NLG_financial_statements_2025_consolidated/NLG_financial_statements_2025_consolidated_extracted.txt,balance_sheet,223,223,20,5,,,auto-mapped
1,ann_50dfa39defaad0cc5c5e30edcd3e2a3be5f69425cf0f27fc6e237e5bb26ec478,doc_4e83387e664068ed2108ed1ed1ea68c8c09f748712230f0a3a8ecd729690793a,NLG/2025/NLG_financial_statements_2025_consolidated/NLG_financial_statements_2025_consolidated_extracted.txt,cash_flow_statement,237,237,24,5,,,auto-mapped
1,ann_e72cdbd589d0c7003509dc568a8dd5f2fcb03da37a46b15787617e5affd60a49,doc_4e83387e664068ed2108ed1ed1ea68c8c09f748712230f0a3a8ecd729690793a,NLG/2025/NLG_financial_statements_2025_consolidated/NLG_financial_statements_2025_consolidated_extracted.txt,cash_flow_statement,314,314,25,5,,,auto-mapped
1,ann_02f75387fbbd05e8c9dd47db5eed7a8653b5834cab57969a786612c18a2a20ba,doc_4e83387e664068ed2108ed1ed1ea68c8c09f748712230f0a3a8ecd729690793a,NLG/2025/NLG_financial_statements_2025_consolidated/NLG_financial_statements_2025_consolidated_extracted.txt,cash_flow_statement,333,333,11,5,,,auto-mapped
1,ann_0238e21f4260c1d8521bef80326615b8d14cabf146583a3ab638555d0e10fd50,doc_51efe6abae9d0bdf8f0c0ace48af42cf05d999a0d222f93563d71534f3e2dc23,HSG/2025/HSG_financial_statements_2025_consolidated/HSG_financial_statements_2025_consolidated_extracted.txt,balance_sheet,1192,1192,6,3,,,auto-mapped
1,ann_fbd28e28999ceb574db0fadb5772a73192eaf1f61160453d840fff2d42b33396,doc_51efe6abae9d0bdf8f0c0ace48af42cf05d999a0d222f93563d71534f3e2dc23,HSG/2025/HSG_financial_statements_2025_consolidated/HSG_financial_statements_2025_consolidated_extracted.txt,income_statement,1215,1215,10,4,,,auto-mapped
1,ann_e415a80229d23c5a12e4f3a13c0cb8928f793f6defcdd972bc453947cea75269,doc_52cc94f1838d023d7a95b9ca14d962a6bb96fb28fd951e643e9854477c1b51e7,CTG/2022/CTG_financial_statements_2022_consolidated/CTG_financial_statements_2022_consolidated_extracted.txt,balance_sheet,320,320,36,5,VND_million,,auto-mapped
1,ann_1c2c2d7507180efae2fc9afdb90cb8b602886836ce9cf6a143fcfdacd70ebd7a,doc_52cc94f1838d023d7a95b9ca14d962a6bb96fb28fd951e643e9854477c1b51e7,CTG/2022/CTG_financial_statements_2022_consolidated/CTG_financial_statements_2022_consolidated_extracted.txt,income_statement,347,347,26,5,VND_million,,auto-mapped
